cur_brand2,pre_brand2,zone2,edu2,pro2,enroll_type2,enroll_age,age_period,open_rate,ctr,or_all,ctr_all
MJN,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,831,Stage 3,1.0,0.5,0.63,0.06
Nestle,Parent's Choice Stage 1,Others,High School,Ontario,Self Enrolled,831,Stage 3,0.0,0.0,0.09,0.03
MJN,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,519,Stage 3,,,0.0,0.0
MJN,Abbott Stage1,MJN,Elementary School,British Columbia,Self Enrolled,655,Stage 3,,,,
MJN,MJN Stage1,MJN,Elementary School,Nova Scotia,Self Enrolled,-1226,Stage 0,0.0,0.0,0.04,0.0
MJN,MJN Stage1,MJN,Elementary School,Nova Scotia,Self Enrolled,-115,Stage 0,0.0,0.0,0.04,0.0
MJN,MJN Stage1,MJN,High School,Nova Scotia,Self Enrolled,337,Stage 2,,,0.58,0.26
Abbott,Abbott Stage1,MJN,Elementary School,Nova Scotia,Self Enrolled,-242,Stage 0,,,0.0,0.0
Abbott,Nestle Stage 1,Others,Elementary School,New Brunswick,Self Enrolled,280,Stage 2,,,0.0,0.0
MJN,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,-90,Stage 0,,,0.0,0.0
MJN,MJN Stage1,Others,Elementary School,Quebec,Self Enrolled,-192,Stage 0,,,0.13,0.03
Abbott,Abbott Stage1,Others,High School,Quebec,Self Enrolled,-19,Stage 0,,,0.05,0.0
Abbott,Parent's Choice Stage 2,Others,Elementary School,Quebec,Self Enrolled,869,Stage 3,,,0.33,0.02
MJN,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,-151,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Quebec,Self Enrolled,-212,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,High School,Quebec,Self Enrolled,-54,Stage 0,,,0.08,0.02
Abbott,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,-11,Stage 0,,,0.02,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Quebec,Self Enrolled,-173,Stage 0,,,0.5,0.03
Abbott,Abbott Solutions,Others,Elementary School,Quebec,Self Enrolled,-169,Stage 0,,,0.0,0.0
Nestle,Nestle Solutions,Others,Elementary School,Quebec,Self Enrolled,-10,Stage 0,,,0.23,0.0
Abbott,Abbott Stage1,Others,High School,Quebec,Self Enrolled,34,Stage 1,,,0.14,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,13,Stage 1,,,0.06,0.0
Abbott,Abbott Stage1,MJN,High School,Quebec,Self Enrolled,47,Stage 1,,,0.1,0.0
Abbott,Nestle Stage 2,Others,High School,Quebec,Self Enrolled,-120,Stage 0,,,0.0,0.0
MJN,MJN Solutions,Others,Elementary School,Quebec,Self Enrolled,-210,Stage 0,,,0.69,0.19
Abbott,MJN Stage1,Others,Elementary School,Quebec,Self Enrolled,-43,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,High School,Quebec,Self Enrolled,-134,Stage 0,,,0.14,0.0
Abbott,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,291,Stage 2,0.0,0.0,0.23,0.03
Nestle,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,-561,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,398,Stage 3,,,0.15,0.0
Abbott,Abbott Solutions,Others,High School,Quebec,Self Enrolled,75,Stage 1,,,0.0,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,-38,Stage 0,,,0.01,0.01
