id,pre_brand,cur_brand,zone,edu,children,date,pro,cur_brand2,pre_brand2,zone2,edu2,pro2,enroll_type2,enroll_age,age_period,open_rate,ctr,or_all,ctr_all,or01,ctr01,redem_rate,redem_rate1
1E+12,13,12,3,1,2,8/31/2020,19,MJN,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,831,Stage 3,1,0.5,0.63,0.06,0.68,0.04,0.8,0.75
1E+12,51,22,3,3,2,2/28/2021,19,Nestle,Parent's Choice Stage 1,Others,High School,Ontario,Self Enrolled,831,Stage 3,0,0,0.09,0.03,0.1,0.07,0,
1E+12,11,12,1,1,3,2/28/2021,11,MJN,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,519,Stage 3,,,0,0,,,0,0
1E+12,31,12,1,2,3,2/29/2020,12,MJN,Abbott Stage1,MJN,Elementary School,British Columbia,Self Enrolled,655,Stage 3,,,,,,,,
1E+12,11,12,1,2,1,8/31/2020,16,MJN,MJN Stage1,MJN,Elementary School,Nova Scotia,Self Enrolled,-1226,Stage 0,0,0,0.04,0,0.25,0,,
1E+12,11,12,1,2,1,8/31/2020,16,MJN,MJN Stage1,MJN,Elementary School,Nova Scotia,Self Enrolled,-115,Stage 0,0,0,0.04,0,0.25,0,,
1E+12,11,12,1,3,2,11/30/2020,16,MJN,MJN Stage1,MJN,High School,Nova Scotia,Self Enrolled,337,Stage 2,,,0.58,0.26,,,0,
1E+12,31,32,1,2,2,8/31/2020,16,Abbott,Abbott Stage1,MJN,Elementary School,Nova Scotia,Self Enrolled,-242,Stage 0,,,0,0,,,,
1E+12,21,32,3,1,2,8/31/2020,14,Abbott,Nestle Stage 1,Others,Elementary School,New Brunswick,Self Enrolled,280,Stage 2,,,0,0,,,1,
1E+12,31,12,4,1,3,11/30/2020,21,MJN,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,-90,Stage 0,,,0,0,0,0,0,
1E+12,11,12,2,2,3,8/31/2020,21,MJN,MJN Stage1,Others,Elementary School,Quebec,Self Enrolled,-192,Stage 0,,,0.13,0.03,0.17,0.06,0,
1E+12,31,32,3,3,3,11/30/2020,21,Abbott,Abbott Stage1,Others,High School,Quebec,Self Enrolled,-19,Stage 0,,,0.05,0,,,,
1E+12,52,32,3,2,3,8/31/2020,21,Abbott,Parent's Choice Stage 2,Others,Elementary School,Quebec,Self Enrolled,869,Stage 3,,,0.33,0.02,0.41,0.05,1,
1E+12,21,12,2,2,2,2/29/2020,21,MJN,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,-151,Stage 0,,,0,0,,,,
1E+12,31,32,1,2,3,5/31/2020,21,Abbott,Abbott Stage1,MJN,Elementary School,Quebec,Self Enrolled,-212,Stage 0,,,0,0,0,0,0,
1E+12,21,22,3,3,3,2/28/2021,21,Nestle,Nestle Stage 1,Others,High School,Quebec,Self Enrolled,-54,Stage 0,,,0.08,0.02,,,0,
1E+12,31,32,3,2,2,11/30/2020,21,Abbott,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,-11,Stage 0,,,0.02,0,0.03,0,0,0
1E+12,21,22,1,2,2,8/31/2020,21,Nestle,Nestle Stage 1,MJN,Elementary School,Quebec,Self Enrolled,-173,Stage 0,,,0.5,0.03,0.39,0,1,
1E+12,33,32,3,2,3,2/29/2020,21,Abbott,Abbott Solutions,Others,Elementary School,Quebec,Self Enrolled,-169,Stage 0,,,0,0,,,,
1E+12,23,22,2,2,2,2/28/2021,21,Nestle,Nestle Solutions,Others,Elementary School,Quebec,Self Enrolled,-10,Stage 0,,,0.23,0,0.25,0,0,0
1E+12,31,32,3,3,3,8/31/2020,21,Abbott,Abbott Stage1,Others,High School,Quebec,Self Enrolled,34,Stage 1,,,0.14,0,0,0,0.5,
1E+12,21,22,3,2,3,11/30/2020,21,Nestle,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,13,Stage 1,,,0.06,0,0.11,0,0,0
1E+12,31,32,1,3,3,5/31/2020,21,Abbott,Abbott Stage1,MJN,High School,Quebec,Self Enrolled,47,Stage 1,,,0.1,0,,,,
1E+12,22,32,3,3,2,2/29/2020,21,Abbott,Nestle Stage 2,Others,High School,Quebec,Self Enrolled,-120,Stage 0,,,0,0,,,,
1E+12,13,12,2,2,2,8/31/2020,21,MJN,MJN Solutions,Others,Elementary School,Quebec,Self Enrolled,-210,Stage 0,,,0.69,0.19,,,1,
1E+12,11,32,2,2,3,11/30/2020,21,Abbott,MJN Stage1,Others,Elementary School,Quebec,Self Enrolled,-43,Stage 0,,,0,0,,,0,
1E+12,21,22,2,3,1,2/28/2021,21,Nestle,Nestle Stage 1,Others,High School,Quebec,Self Enrolled,-134,Stage 0,,,0.14,0,0.1,0,0.2,0
1E+12,31,32,3,2,3,11/30/2020,21,Abbott,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,291,Stage 2,0,0,0.23,0.03,0.23,0.03,0,0
1E+12,21,22,2,2,2,5/31/2020,21,Nestle,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,-561,Stage 0,,,0,0,,,,
1E+12,31,32,2,2,2,5/31/2020,21,Abbott,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,398,Stage 3,,,0.15,0,0.21,0,0,
